                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220412"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                   log_LH                                  log_LHe                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                             he_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                               surface_h1                              surface_he4                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4 
                                       1                                     2455                  2.9370202321130944E+002                  2.4679069382370695E+000                  1.0300000000000001E+001                  3.4091602978171025E+000                  3.7490803395283430E+000                 -3.0504233545511688E+001                  3.7490803395283430E+000                  1.6302931342272196E+000                  3.7457640365393492E+000                 -3.0504233545511688E+001                  0.0000000000000000E+000                  4.4091374677891597E+000                  3.7957721527383339E+000                  6.0226430165534550E-001                  4.2463762486976142E+000                  1.6605465175781642E+001                  9.4666800990825650E-001                  7.5013618887971996E+000                  6.1751508392502141E-001                  6.9864905564205493E-001                  2.8080042031845059E-001                  5.5939323717232654E-005                  9.2614422601384923E-003                  5.0706438293990179E-003                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4468833607860794E-003                  9.3805276451495376E-003                  1.0103427409336061E-003                  7.2051972743982802E+000                  2.8865884943272992E+000 
                                       5                                      998                  2.1856129759292803E+003                  2.7846319224275686E+000                  1.0300000000000001E+001                  2.9691566241845475E+000                  3.7602215621468611E+000                 -3.0454424628396794E+001                  3.7602215621468611E+000                  1.6311972136866129E+000                  3.7569828053690490E+000                 -3.0454424628396794E+001                  0.0000000000000000E+000                  4.4097388622052343E+000                  3.7972973931426046E+000                  6.0182413302532989E-001                  4.2472565859576452E+000                  1.6609027298887007E+001                  9.4936541560426546E-001                  7.5022410409166005E+000                  6.1753206296404839E-001                  6.9861333775422607E-001                  2.8083664340688297E-001                  5.4918984088297334E-005                  9.2561066869460175E-003                  5.0765028521755143E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607860794E-003                  9.3805276451495445E-003                  1.0103427409336068E-003                  7.2050869706712248E+000                  2.8866971248134603E+000 
                                      10                                      998                  7.6241174561936232E+003                  3.1805381526656928E+000                  1.0300000000000001E+001                  3.0595300086456096E+000                  3.7842669212319229E+000                 -3.0373132232518770E+001                  3.7842669212319229E+000                  1.6329977364801431E+000                  3.7811904528737488E+000                 -3.0373132232518770E+001                  0.0000000000000000E+000                  4.4107891305716551E+000                  3.7993333394941025E+000                  6.0074156946823831E-001                  4.2494217130718281E+000                  1.6613928858106419E+001                  9.5295650857951364E-001                  7.5035597954036160E+000                  6.1758099618838602E-001                  6.9851030442864748E-001                  2.8094163431212543E-001                  5.4999767117861109E-005                  9.2406297921849897E-003                  5.0899508882235921E-003                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495445E-003                  1.0103427409336072E-003                  7.2047548485160453E+000                  2.8870259725716259E+000 
                                      15                                      998                  2.1156856924524996E+004                  3.5764443829038171E+000                  1.0300000000000001E+001                  3.1441456285543148E+000                  3.7955250363929398E+000                 -3.0341151275723714E+001                  3.7955250363929398E+000                  1.6205684128838103E+000                  3.7926124207227994E+000                 -3.0341151275723714E+001                  0.0000000000000000E+000                  4.4105923160445411E+000                  3.7948868705234391E+000                  5.9891196403713398E-001                  4.2530809239340366E+000                  1.6614559009267598E+001                  9.5304059225725268E-001                  7.5040915074066596E+000                  6.1770528977256600E-001                  6.9824865842637085E-001                  2.8120825353443252E-001                  5.5479310650197571E-005                  9.2015249806641324E-003                  5.1236081308499515E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607860794E-003                  9.3805276451495445E-003                  1.0103427409336068E-003                  7.2038946998810678E+000                  2.8878786035008641E+000 
                                      20                                      995                  5.4830643198363308E+004                  3.9723506131419408E+000                  1.0300000000000001E+001                  3.1700926069220876E+000                  3.7939257504437940E+000                 -3.0358492530768043E+001                  3.7939257504437935E+000                  1.5943268324160802E+000                  3.7911743082812248E+000                 -3.0358492530768043E+001                  0.0000000000000000E+000                  4.4100201647876327E+000                  3.7926754422615265E+000                  5.9895055241999295E-001                  4.2530037471683189E+000                  1.6612515523672933E+001                  9.5147440841804254E-001                  7.5037781578593297E+000                  6.1801447715330027E-001                  6.9759831461576538E-001                  2.8187063813189900E-001                  5.6314515141331369E-005                  9.1063093076359774E-003                  5.2059474395099274E-003                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495445E-003                  1.0103427409336072E-003                  7.2017509242265492E+000                  2.8900078552915520E+000 
                                      25                                      993                  1.3862179905928060E+005                  4.3682568433800650E+000                  1.0300000000000001E+001                  3.2012251935963416E+000                  3.7941873745212233E+000                 -3.0387588930383604E+001                  3.7941873745212233E+000                  1.5637712635204877E+000                  3.7916249636049999E+000                 -3.0387588930383604E+001                  0.0000000000000000E+000                  4.4094680497471774E+000                  3.7930364082559382E+000                  6.0023526549811079E-001                  4.2504343210120838E+000                  1.6609076111714106E+001                  9.4906222750903602E-001                  7.5032101278392673E+000                  6.1878063970865937E-001                  6.9598985813736070E-001                  2.8350744399083710E-001                  5.8301224095633512E-005                  8.8821514432951363E-003                  5.3997677436948121E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607860794E-003                  9.3805276451495445E-003                  1.0103427409336068E-003                  7.1964238853926359E+000                  2.8953220329385321E+000 
                                      30                                      989                  3.4712100801111839E+005                  4.7641630736181888E+000                  1.0300000000000001E+001                  3.2404047290931595E+000                  3.7955084526248570E+000                 -3.0450693516652024E+001                  3.7955084526248570E+000                  1.5310512350086123E+000                  3.7931397480016886E+000                 -3.0450693516652024E+001                  0.0000000000000000E+000                  4.4082349292025507E+000                  3.7944717442587161E+000                  6.0341917458875327E-001                  4.2440665028307984E+000                  1.6601408459388349E+001                  9.4382281313272154E-001                  7.5019448900420267E+000                  6.2069263830673083E-001                  6.9199465924807180E-001                  2.8756574586669048E-001                  6.2700333638644970E-005                  8.3831788540032048E-003                  5.8312364648584070E-003                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495445E-003                  1.0103427409336072E-003                  7.1831638607624972E+000                  2.9086263010832516E+000 
                                      35                                      987                  8.6593375963015517E+005                  5.1600693038563126E+000                  1.0300000000000001E+001                  3.2458342854436224E+000                  3.7999733183953923E+000                 -3.0549173813756919E+001                  3.7999733183953923E+000                  1.4920818520279162E+000                  3.7978306066000815E+000                 -3.0549173813756919E+001                  0.0000000000000000E+000                  4.4058214319763458E+000                  3.7991624942098530E+000                  6.1059154401673221E-001                  4.2297217639748403E+000                  1.6586589771480206E+001                  9.3416636027545141E-001                  7.4997513284559076E+000                  6.2554735038791776E-001                  6.8196663167595140E-001                  2.9772048026043302E-001                  7.1506771453108713E-005                  7.3812832474194259E-003                  6.6976209431690035E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607860794E-003                  9.3805276451495445E-003                  1.0103427409336068E-003                  7.1500176992085223E+000                  2.9419998389498998E+000 
                                      40                                      987                  2.1569059057388366E+006                  5.5559755340944372E+000                  1.0300000000000001E+001                  3.1805808021426398E+000                  3.8132442490390948E+000                 -3.0598646059212808E+001                  3.8132442490390948E+000                  1.4325632044012504E+000                  3.8114328729109759E+000                 -3.0598646059212808E+001                  0.0000000000000000E+000                  4.4017020957491519E+000                  3.8126708114167731E+000                  6.2558437507458009E-001                  4.1997361018591448E+000                  1.6562627172550794E+001                  9.2020658105337838E-001                  7.4975201542352661E+000                  6.3840081094057433E-001                  6.5617426329677975E-001                  3.2373090037404739E-001                  8.6796885082416673E-005                  5.6574352706826028E-003                  8.1881494569128604E-003                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495445E-003                  1.0103427409336072E-003                  7.0659516481317803E+000                  3.0265952154141611E+000 
