                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220412"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                   log_LH                                  log_LHe                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                             he_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                               surface_h1                              surface_he4                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4 
                                       1                                     2468                  5.0997616847084015E+002                  2.7075498816990446E+000                  8.2599999999999998E+000                  2.5462866626621108E+000                  3.4555575944764487E+000                 -3.1482559830776875E+001                  3.4555575944764492E+000                  1.5421813959568016E+000                  3.4502233550802339E+000                 -3.1482559830776875E+001                  0.0000000000000000E+000                  4.3583498641459135E+000                  3.4847363003148848E+000                  5.4832158273011111E-001                  4.2584045091632925E+000                  1.6683092694281164E+001                  1.0522893470498735E+000                  7.4820874460089373E+000                  6.1751459646941931E-001                  6.9865024721801594E-001                  2.8079809775609682E-001                  5.5998653990175445E-005                  9.2694236809569459E-003                  5.0635908675357262E-003                  7.0000000000000007E-001                  2.7997020236474907E-001                  3.4468833607860794E-003                  9.3805276451495428E-003                  1.0103427409336066E-003                  5.7783969869507716E+000                  2.3147107995417295E+000 
                                       5                                      987                  3.7950386552926043E+003                  3.0242748658895442E+000                  8.2599999999999998E+000                  2.1748218053468711E+000                  3.4551520720683566E+000                 -3.1437021621767979E+001                  3.4551520720683566E+000                  1.5337945970245432E+000                  3.4499155557213426E+000                 -3.1437021621767979E+001                  0.0000000000000000E+000                  4.3589527720362824E+000                  3.4864806026962851E+000                  5.4798791814007419E-001                  4.2590718383433668E+000                  1.6686282856553962E+001                  1.0547094233020660E+000                  7.4828730770994740E+000                  6.1753456658300809E-001                  6.9860834458228960E-001                  2.8084009008954169E-001                  5.2041798548692021E-005                  9.2636360338794205E-003                  5.0732713900717829E-003                  7.0000000000000007E-001                  2.7997020236474907E-001                  3.4468833607860789E-003                  9.3805276451495428E-003                  1.0103427409336066E-003                  5.7783014011518503E+000                  2.3148030452234205E+000 
                                      10                                      987                  1.3238309242030295E+004                  3.4201810961276680E+000                  8.2599999999999998E+000                  2.2315139860470365E+000                  3.4765485517619616E+000                 -3.1358303561959062E+001                  3.4765485517619616E+000                  1.5310631371851888E+000                  3.4715966445571484E+000                 -3.1358303561959062E+001                  0.0000000000000000E+000                  4.3600268347683784E+000                  3.4887507829847202E+000                  5.4697488282009843E-001                  4.2610979089833183E+000                  1.6690910571508784E+001                  1.0580859175933535E+000                  7.4841426589393851E+000                  6.1759198268475313E-001                  6.9848750133209037E-001                  2.8096300537727470E-001                  5.1634431605886272E-005                  9.2466843769826047E-003                  5.0885793512897683E-003                  7.0000000000000018E-001                  2.7997020236474907E-001                  3.4468833607860794E-003                  9.3805276451495462E-003                  1.0103427409336068E-003                  5.7780169212850803E+000                  2.3150818294621223E+000 
                                      15                                      987                  3.6736188308421428E+004                  3.8160873263657922E+000                  8.2599999999999998E+000                  2.2920480892611237E+000                  3.4850760257696467E+000                 -3.1333505962800071E+001                  3.4850760257696463E+000                  1.5239353519699748E+000                  3.4803004113302825E+000                 -3.1333505962800071E+001                  0.0000000000000000E+000                  4.3596676468051792E+000                  3.4840087966986850E+000                  5.4532226560348041E-001                  4.2644031434165539E+000                  1.6690899994388431E+001                  1.0576848968903749E+000                  7.4845552466373393E+000                  6.1773364213970849E-001                  6.9818939557182247E-001                  2.8126638120409353E-001                  5.2060416575953603E-005                  9.2050992009793525E-003                  5.1244693978275370E-003                  7.0000000000000007E-001                  2.7997020236474907E-001                  3.4468833607860789E-003                  9.3805276451495428E-003                  1.0103427409336066E-003                  5.7772843939982286E+000                  2.3158016535783679E+000 
                                      20                                      987                  9.5206430746903818E+004                  4.2119935566039164E+000                  8.2599999999999998E+000                  2.3140609641461709E+000                  3.4835571339042768E+000                 -3.1348385809903139E+001                  3.4835571339042768E+000                  1.5030563204461087E+000                  3.4789908317195972E+000                 -3.1348385809903139E+001                  0.0000000000000000E+000                  4.3591626283838858E+000                  3.4824489909691434E+000                  5.4555239958129609E-001                  4.2639428754609225E+000                  1.6688932384317891E+001                  1.0562075404903200E+000                  7.4842789293787151E+000                  6.1809461441236491E-001                  6.9743045438244200E-001                  2.8203841702553101E-001                  5.2929800252278697E-005                  9.1015268501223566E-003                  5.2140809238716956E-003                  7.0000000000000018E-001                  2.7997020236474907E-001                  3.4468833607860794E-003                  9.3805276451495462E-003                  1.0103427409336068E-003                  5.7754627172657980E+000                  2.3175986874945420E+000 
                                      25                                      985                  2.4069910441142824E+005                  4.6078997868420402E+000                  8.2599999999999998E+000                  2.3489257432612871E+000                  3.4837312570420993E+000                 -3.1374556852678083E+001                  3.4837312570420993E+000                  1.4834323497845388E+000                  3.4793694698556088E+000                 -3.1374556852678083E+001                  0.0000000000000000E+000                  4.3585641200580820E+000                  3.4827008896068206E+000                  5.4687536555174265E-001                  4.2612969435200299E+000                  1.6685345663926068E+001                  1.0536943214968812E+000                  7.4837507185478565E+000                  6.1896808785443924E-001                  6.9559797376095556E-001                  2.8390085819849975E-001                  5.4902047553246175E-005                  8.8644324696143563E-003                  5.4192375516317328E-003                  7.0000000000000007E-001                  2.7997020236474907E-001                  3.4468833607860789E-003                  9.3805276451495428E-003                  1.0103427409336066E-003                  5.7709364518900541E+000                  2.3220963127303702E+000 
                                      30                                      979                  6.0273143414433766E+005                  5.0038060170801639E+000                  8.2599999999999998E+000                  2.3764321517292633E+000                  3.4851639656693556E+000                 -3.1435731491056348E+001                  3.4851639656693556E+000                  1.4570646739453532E+000                  3.4810739173495659E+000                 -3.1435731491056348E+001                  0.0000000000000000E+000                  4.3572023537053619E+000                  3.4841755288352068E+000                  5.5033621787137543E-001                  4.2543752388807636E+000                  1.6677211286886660E+001                  1.0482093912761898E+000                  7.4824975068245774E+000                  6.2116800318304111E-001                  6.9100720585468856E-001                  2.8855847870135476E-001                  5.9295978682146399E-005                  8.3354702643425680E-003                  5.8769532282608302E-003                  7.0000000000000018E-001                  2.7997020236474907E-001                  3.4468833607860794E-003                  9.3805276451495462E-003                  1.0103427409336068E-003                  5.7596723237534100E+000                  2.3333793242991545E+000 
                                      35                                      980                  1.5035837208653309E+006                  5.3997122473182886E+000                  8.2599999999999998E+000                  2.3872747267368548E+000                  3.4901273077306452E+000                 -3.1527774505483666E+001                  3.4901273077306456E+000                  1.4209377051174348E+000                  3.4864080780722788E+000                 -3.1527774505483666E+001                  0.0000000000000000E+000                  4.3545177524456129E+000                  3.4893562904768860E+000                  5.5829580121171385E-001                  4.2384560722000870E+000                  1.6661421984929291E+001                  1.0381875697396710E+000                  7.4803343806312146E+000                  6.2682826224493571E-001                  6.7935063940433382E-001                  3.0034937030768194E-001                  6.8084859093787422E-005                  7.2726327702849090E-003                  6.7966823417476988E-003                  7.0000000000000007E-001                  2.7997020236474907E-001                  3.4468833607860789E-003                  9.3805276451495428E-003                  1.0103427409336066E-003                  5.7314962827536524E+000                  2.3617219868625861E+000 
                                      40                                      989                  3.7451924829589124E+006                  5.7956184775564124E+000                  8.2599999999999998E+000                  2.3220804977042682E+000                  3.5051151800855131E+000                 -3.1544787262445791E+001                  3.5051151800855131E+000                  1.3593527393152189E+000                  3.5019993133668343E+000                 -3.1544787262445791E+001                  0.0000000000000000E+000                  4.3499596031534020E+000                  3.5045636760389089E+000                  5.7501579257714786E-001                  4.2050160894692192E+000                  1.6636162394587487E+001                  1.0242047269825094E+000                  7.4784645949024471E+000                  6.4182895543068186E-001                  6.4947695354344537E-001                  3.3044837133383548E-001                  8.3019982703635303E-005                  5.4903507536227811E-003                  8.3387547954489032E-003                  7.0000000000000018E-001                  2.7997020236474907E-001                  3.4468833607860794E-003                  9.3805276451495462E-003                  1.0103427409336068E-003                  5.6598240853836117E+000                  2.4337904232038561E+000 
