                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220412"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                   log_LH                                  log_LHe                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                             he_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                               surface_h1                              surface_he4                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4 
                                       1                                     3815                  1.0000000000000000E+005                  5.0000000000000000E+000                  7.3000000000000009E-001                  9.5020356406719589E-002                 -7.1974867742062509E-001                 -5.1760523658207390E+001                 -7.1974867742062476E-001                 -7.2430216125513025E-001                 -2.7014639422686044E+000                 -5.1760523658207390E+001                  0.0000000000000000E+000                  3.6595976671641606E+000                 -7.6044079280442001E-001                 -1.7676256986603348E-001                  4.6549156271556562E+000                  1.7087290939553885E+001                  1.9057249432886316E+000                  7.0520685656559232E+000                  6.2133532050726314E-001                  6.9953937062469240E-001                  2.8017494258133074E-001                  3.4154169409765468E-003                  9.3805268146298377E-003                  1.0470542907538855E-003                  6.9999994620393668E-001                  2.7997020236474884E-001                  3.4468833607860403E-003                  9.3805276451495497E-003                  1.0103427409336411E-003                  5.1092964569711730E-001                  2.0439803329477149E-001 
                                       5                                      793                  7.4416000000000000E+005                  5.3167249841904987E+000                  7.3000000000000009E-001                  6.4713580810305815E-002                 -7.2583037447911536E-001                 -5.1769016756728121E+001                 -7.2583037447911514E-001                 -7.3040988212796720E-001                 -2.7050836388122619E+000                 -5.1769016756728121E+001                  0.0000000000000000E+000                  3.6578522898494841E+000                 -7.6898848253613128E-001                 -1.7754566010253708E-001                  4.6564818076286629E+000                  1.7084954636686060E+001                  1.9034264445625249E+000                  7.0520643935435912E+000                  6.2134040602518570E-001                  6.9952882424530349E-001                  2.8018842784821796E-001                  3.4141396121233620E-003                  9.3805268178129668E-003                  1.0485445049669357E-003                  6.9999994616939731E-001                  2.7997020236474884E-001                  3.4468833607860395E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.1092804264937464E-001                  2.0439897069277135E-001 
                                      10                                      793                  2.5958682112000003E+006                  5.7126312144286233E+000                  7.3000000000000009E-001                  6.3230846905755672E-002                 -7.4233534899384390E-001                 -5.1815815972204462E+001                 -7.4233534899384379E-001                 -7.4689617457090729E-001                 -2.7233546138806588E+000                 -5.1815815972204462E+001                  0.0000000000000000E+000                  3.6565964060684437E+000                 -7.7582454435590120E-001                 -1.7845192345034089E-001                  4.6582943343242702E+000                  1.7079620313690210E+001                  1.8988548390106958E+000                  7.0513647946789497E+000                  6.2135529462079486E-001                  6.9949794252587361E-001                  2.8022511090477342E-001                  3.4105432866192525E-003                  9.3805268333825263E-003                  1.0527402044316623E-003                  6.9999994607283988E-001                  2.7997020236474884E-001                  3.4468833607860395E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.1092343782985727E-001                  2.0440152457221539E-001 
                                      15                                      790                  7.2035107872931836E+006                  6.1085374446667471E+000                  7.3000000000000009E-001                  5.4185979591695639E-002                 -7.6926106052497278E-001                 -5.1933822768708495E+001                 -7.6926106052497278E-001                 -7.7362766869930133E-001                 -2.7690826231414847E+000                 -5.1933822768708495E+001                  0.0000000000000000E+000                  3.6540190961192200E+000                 -7.8914376546912246E-001                 -1.7995691410850523E-001                  4.6613043156405993E+000                  1.7073876871487379E+001                  1.8951792448437235E+000                  7.0493527034859635E+000                  6.2139398240277066E-001                  6.9941760909199002E-001                  2.8031231899467629E-001                  3.4015366123463855E-003                  9.3805268683271065E-003                  1.0632479605068648E-003                  6.9999994578344460E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.1091201541433784E-001                  2.0440724463529061E-001 
                                      20                                      791                  1.8668799962237377E+007                  6.5044436749048709E+000                  7.3000000000000009E-001                  4.1801293668250347E-002                 -7.8387851152922439E-001                 -5.2073322650319177E+001                 -7.8387851152922428E-001                 -7.8785300061950769E-001                 -2.8243672426261490E+000                 -5.2073322650319177E+001                  0.0000000000000000E+000                  3.6531151284072809E+000                 -7.9050866900281280E-001                 -1.7883143045147137E-001                  4.6590533483265313E+000                  1.7072491402569028E+001                  1.8963865303051035E+000                  7.0467927368429013E+000                  6.2149655990927899E-001                  6.9920442938392335E-001                  2.8052920558704592E-001                  3.3779850721159083E-003                  9.3805268394354085E-003                  1.0907247827226577E-003                  6.9999994515665553E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.1088401275579187E-001                  2.0442032821237499E-001 
                                      25                                      793                  4.7198108322034501E+007                  6.9003499051429955E+000                  7.3000000000000009E-001                  2.6741472639593526E-002                 -7.8063655573556501E-001                 -5.2248087963646690E+001                 -7.8063655573556512E-001                 -7.8398316098843357E-001                 -2.8954886067531147E+000                 -5.2248087963646690E+001                  0.0000000000000000E+000                  3.6529220666748703E+000                 -7.8732197475176224E-001                 -1.7685195986112531E-001                  4.6550944071458398E+000                  1.7067042417800177E+001                  1.8942406987309428E+000                  7.0436821649611252E+000                  6.2177112634836718E-001                  6.9863409788501707E-001                  2.8109922739840082E-001                  3.3120595450299864E-003                  9.3805256175133935E-003                  1.1676389668380030E-003                  6.9999994329393733E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.1081765744347696E-001                  2.0445465190077894E-001 
                                      30                                      785                  1.1818815689988488E+008                  7.2962561353811193E+000                  7.3000000000000009E-001                  9.7565757119966578E-003                 -7.8485872722314820E-001                 -5.2548078194410550E+001                 -7.8485872722314798E-001                 -7.8739455474413933E-001                 -3.0197906244729196E+000                 -5.2548078194410550E+001                  0.0000000000000000E+000                  3.6516325418995592E+000                 -7.8777593603845364E-001                 -1.7449989095384885E-001                  4.6503902693312869E+000                  1.7056693622390942E+001                  1.8898105455886469E+000                  7.0382937428258918E+000                  6.2251137482459840E-001                  6.9709844413831590E-001                  2.8261686220555604E-001                  3.1252232628936442E-003                  9.3805209606569722E-003                  1.3856187040797703E-003                  6.9999993844591368E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.1066800591678618E-001                  2.0454726708528903E-001 
                                      35                                      777                  2.9483411457712144E+008                  7.6921623656192430E+000                  7.3000000000000009E-001                  6.2371709318557707E-004                 -7.8525136779290527E-001                 -5.2741983776367363E+001                 -7.8525136779290539E-001                 -7.8722363223363434E-001                 -3.1290562935136661E+000                 -5.2741983776367363E+001                  0.0000000000000000E+000                  3.6510035290559446E+000                 -7.8597338630029079E-001                 -1.7234059039753813E-001                  4.6460716682186654E+000                  1.7051298064052052E+001                  1.8897443552383366E+000                  7.0343515867007440E+000                  6.2452722431969110E-001                  6.9293042591103449E-001                  2.8671663238396516E-001                  2.6001080057631801E-003                  9.3805055479301673E-003                  1.9982666568679327E-003                  6.9999992572000747E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.1032828304063604E-001                  2.0479293780551178E-001 
                                      40                                      775                  7.3438578398454285E+008                  8.0880685958573668E+000                  7.3000000000000009E-001                  0.0000000000000000E+000                 -7.8101489243268851E-001                 -5.2762790608601868E+001                 -7.8101489243268851E-001                 -7.8255887243518540E-001                 -3.2309292939337078E+000                 -5.2762790608601868E+001                  0.0000000000000000E+000                  3.6511567011418471E+000                 -7.8115189070415336E-001                 -1.7023618677127478E-001                  4.6418628609661381E+000                  1.7051431336160274E+001                  1.8949155092982026E+000                  7.0329254666262422E+000                  6.2977826615963284E-001                  6.8216382617499993E-001                  2.9731569159340099E-001                  1.5431657534208014E-003                  9.3804594577432156E-003                  3.2314062801809245E-003                  6.9999989914027227E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.0953472613687589E-001                  2.0543808319156606E-001 
                                      45                                      774                  1.8281309940044174E+009                  8.4839748260954906E+000                  7.3000000000000009E-001                  0.0000000000000000E+000                 -7.6998699019323724E-001                 -5.2527056198881318E+001                 -7.6998699019323735E-001                 -7.7112961980224237E-001                 -3.3504370172774234E+000                 -5.2527056198881318E+001                  0.0000000000000000E+000                  3.6525690841433760E+000                 -7.6996702023060981E-001                 -1.6746851753755973E-001                  4.6363275224987079E+000                  1.7060922966800415E+001                  1.9111753837705712E+000                  7.0349817521332243E+000                  6.4276133650646883E-001                  6.5616579023192656E-001                  3.2314499739544889E-001                  4.4670907987222797E-004                  9.3803408244981165E-003                  4.5107095367437197E-003                  6.9999983571258151E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.0762269928029091E-001                  2.0712871821355500E-001 
                                      50                                      776                  4.0833550529822545E+009                  8.6531873730764453E+000                  7.3000000000000009E-001                  0.0000000000000000E+000                 -7.4783425941895931E-001                 -5.1889334511666199E+001                 -7.4783425941895942E-001                 -7.4863922305348951E-001                 -3.4802447294800793E+000                 -5.1889334511666199E+001                  0.0000000000000000E+000                  3.6559430160192865E+000                 -7.4777733081409659E-001                 -1.6312153658112424E-001                  4.6276335605858376E+000                  1.7085955287571295E+001                  1.9473569063564979E+000                  7.0423315177619097E+000                  6.7090456140373533E-001                  6.0331801785214056E-001                  3.7595845554371532E-001                  3.5846435147238299E-005                  9.3800130864789676E-003                  4.9903360596896297E-003                  6.9999970710131387E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  5.0365388402378486E-001                  2.1083287730708877E-001 
                                      55                                      775                  6.2418119685927992E+009                  8.6315054110077956E+000                  7.3000000000000009E-001                  0.0000000000000000E+000                 -7.2618815579032292E-001                 -5.1232727719418811E+001                 -7.2618815579032292E-001                 -7.2684612766473933E-001                 -3.5460940817795890E+000                 -5.1232727719418811E+001                  0.0000000000000000E+000                  3.6593314584148624E+000                 -7.2612325649773313E-001                 -1.5907138421409414E-001                  4.6195332558517768E+000                  1.7112833403803357E+001                  1.9844850312168107E+000                  7.0505087351125377E+000                  7.0018686967084087E-001                  5.5283767315210131E-001                  4.2646467335210919E-001                  1.0690055822233249E-005                  9.3795259111359285E-003                  5.0201114473272931E-003                  6.9999958413782959E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  4.9972797623572029E-001                  2.1459702432079275E-001 
                                      60                                      776                  8.4644691600661163E+009                  8.7099349328698263E+000                  7.3000000000000009E-001                  0.0000000000000000E+000                 -7.0291403360194760E-001                 -5.0523349164766003E+001                 -7.0291403360194771E-001                 -7.0349901382055124E-001                 -3.5738496217334927E+000                 -5.0523349164766003E+001                  0.0000000000000000E+000                  3.6629605643209899E+000                 -7.0284511930655447E-001                 -1.5469052743075901E-001                  4.6107715422851063E+000                  1.7143375993777436E+001                  2.0252322661403301E+000                  7.0597504063174998E+000                  7.3268652751988106E-001                  5.0085937449679852E-001                  4.7847003751088302E-001                  1.0447740213137309E-005                  9.3787077334649832E-003                  5.0211100543333161E-003                  6.9999945710924616E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  4.9550729830327256E-001                  2.1870123147565504E-001 
                                      63                                      779                  1.0000000000000000E+010                  8.6095202096969086E+000                  7.3000000000000009E-001                  0.0000000000000000E+000                 -6.8606037405215259E-001                 -5.0017016174072225E+001                 -6.8606037405215237E-001                 -6.8662100910498525E-001                 -3.5754447248650791E+000                 -5.0017016174072225E+001                  0.0000000000000000E+000                  3.6655670995097074E+000                 -6.8598855138024373E-001                 -1.5147531384504029E-001                  4.6043411151136695E+000                  1.7166244271837282E+001                  2.0539399815932420E+000                  7.0664894431055760E+000                  7.5518576504175761E-001                  4.6509661117920831E-001                  5.1424911297874731E-001                  1.0810223901041465E-005                  9.3778292486031058E-003                  5.0214558309515725E-003                  6.9999937636153886E-001                  2.7997020236474884E-001                  3.4468833607860399E-003                  9.3805276451495376E-003                  1.0103427409336406E-003                  4.9246526745464447E-001                  2.2168318145094348E-001 
